team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
DEN,16.0,348.0,537.0,64.8,3609.0,7.1,225.6,75.0,19.0,10.0,40.0,213.0,89.8,2019,426.0,1783.0,4.2,111.4,81.0,9.0,1.0,0.0,348.0,3822.0,11.0,238.9,75.0,19.0,5.0,3.0,305.0,96.0,175.0,34.0,79.0,211.0,37.4,9.0,19.0,47.4,121.0,1041.0
LAR,16.0,348.0,562.0,61.9,3625.0,7.0,226.6,67.0,23.0,13.0,50.0,303.0,86.8,2019,444.0,1809.0,4.1,113.1,44.0,15.0,8.0,3.0,348.0,3928.0,11.3,245.5,67.0,23.0,5.0,4.0,324.0,100.0,194.0,30.0,86.0,218.0,39.5,14.0,24.0,58.3,105.0,829.0
CAR,16.0,347.0,544.0,63.8,3696.0,7.3,231.0,93.0,21.0,14.0,53.0,301.0,88.0,2019,445.0,2296.0,5.2,143.5,60.0,31.0,5.0,2.0,347.0,3997.0,11.5,249.8,93.0,21.0,0.0,0.0,355.0,128.0,197.0,30.0,77.0,193.0,39.9,6.0,9.0,66.7,109.0,940.0
GB,16.0,326.0,546.0,59.7,3721.0,7.4,232.6,66.0,19.0,17.0,41.0,295.0,81.1,2019,411.0,1921.0,4.7,120.1,75.0,15.0,10.0,3.0,326.0,4016.0,12.3,251.0,66.0,19.0,4.0,2.0,310.0,99.0,191.0,20.0,75.0,197.0,38.1,8.0,18.0,44.4,97.0,968.0
MIN,16.0,394.0,601.0,65.6,3737.0,6.8,233.6,60.0,23.0,17.0,48.0,362.0,86.1,2019,404.0,1728.0,4.3,108.0,91.0,8.0,3.0,3.0,394.0,4099.0,10.4,256.2,60.0,23.0,9.0,7.0,324.0,78.0,215.0,31.0,85.0,214.0,39.7,16.0,29.0,55.2,83.0,713.0
JAC,16.0,327.0,517.0,63.3,3778.0,7.9,236.1,84.0,22.0,10.0,47.0,310.0,93.9,2019,435.0,2229.0,5.1,139.3,84.0,23.0,6.0,3.0,327.0,4088.0,12.5,255.5,84.0,22.0,2.0,1.0,340.0,114.0,193.0,33.0,79.0,190.0,41.6,5.0,11.0,45.5,102.0,883.0
NYJ,16.0,363.0,585.0,62.1,3779.0,6.8,236.2,89.0,25.0,12.0,35.0,222.0,88.0,2019,417.0,1391.0,3.3,86.9,66.0,12.0,8.0,2.0,363.0,4001.0,11.0,250.1,89.0,25.0,2.0,1.0,302.0,75.0,187.0,40.0,88.0,225.0,39.1,3.0,12.0,25.0,107.0,902.0
WAS,16.0,371.0,540.0,68.7,3823.0,7.6,238.9,53.0,35.0,13.0,46.0,270.0,102.5,2019,493.0,2339.0,4.7,146.2,67.0,14.0,8.0,3.0,371.0,4093.0,11.0,255.8,53.0,35.0,3.0,1.0,354.0,120.0,200.0,34.0,111.0,227.0,48.9,12.0,19.0,63.2,94.0,805.0
PHI,16.0,348.0,571.0,60.9,3865.0,7.2,241.6,75.0,27.0,11.0,43.0,271.0,90.8,2019,353.0,1442.0,4.1,90.1,68.0,13.0,8.0,5.0,348.0,4136.0,11.9,258.5,75.0,27.0,3.0,0.0,289.0,76.0,185.0,28.0,70.0,205.0,34.2,11.0,18.0,61.1,115.0,959.0
NO,16.0,371.0,603.0,61.5,3868.0,7.0,241.8,75.0,27.0,13.0,51.0,333.0,88.3,2019,345.0,1461.0,4.2,91.3,49.0,12.0,7.0,6.0,371.0,4201.0,11.3,262.6,75.0,27.0,2.0,2.0,311.0,71.0,197.0,43.0,73.0,210.0,34.8,11.0,25.0,44.0,92.0,713.0
CIN,16.0,308.0,499.0,61.7,3917.0,8.3,244.8,79.0,25.0,11.0,31.0,204.0,95.4,2019,504.0,2382.0,4.7,148.9,57.0,17.0,5.0,2.0,308.0,4121.0,13.4,257.6,79.0,25.0,4.0,3.0,328.0,124.0,183.0,21.0,89.0,209.0,42.6,5.0,10.0,50.0,122.0,988.0
ATL,16.0,351.0,536.0,65.5,3918.0,7.7,244.9,71.0,28.0,12.0,28.0,219.0,96.9,2019,421.0,1775.0,4.2,110.9,37.0,13.0,10.0,2.0,351.0,4137.0,11.8,258.6,71.0,28.0,3.0,0.0,330.0,108.0,192.0,30.0,77.0,193.0,39.9,12.0,20.0,60.0,127.0,1080.0
IND,16.0,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,2019,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
TEN,16.0,386.0,598.0,64.5,4080.0,7.3,255.0,63.0,25.0,14.0,43.0,276.0,90.4,2019,415.0,1672.0,4.0,104.5,69.0,14.0,5.0,3.0,386.0,4356.0,11.3,272.3,63.0,25.0,3.0,2.0,335.0,95.0,213.0,27.0,74.0,204.0,36.3,10.0,25.0,40.0,125.0,1025.0
LV,16.0,337.0,526.0,64.1,4107.0,8.3,256.7,91.0,33.0,9.0,32.0,248.0,103.8,2019,405.0,1570.0,3.9,98.1,30.0,15.0,3.0,2.0,337.0,4355.0,12.9,272.2,91.0,33.0,2.0,1.0,344.0,91.0,201.0,52.0,81.0,190.0,42.6,9.0,13.0,69.2,91.0,763.0
MIA,16.0,344.0,545.0,63.1,4198.0,8.0,262.4,83.0,39.0,13.0,23.0,155.0,101.9,2019,485.0,2166.0,4.5,135.4,60.0,15.0,8.0,1.0,344.0,4353.0,12.7,272.1,83.0,39.0,2.0,0.0,361.0,113.0,214.0,34.0,81.0,194.0,41.8,8.0,13.0,61.5,111.0,1084.0
SEA,16.0,383.0,598.0,64.0,4223.0,7.4,263.9,58.0,19.0,16.0,28.0,184.0,85.6,2019,388.0,1883.0,4.9,117.7,80.0,22.0,5.0,3.0,383.0,4407.0,11.5,275.4,58.0,19.0,7.0,3.0,346.0,97.0,224.0,25.0,71.0,185.0,38.4,7.0,12.0,58.3,96.0,798.0
NYG,16.0,369.0,556.0,66.4,4225.0,8.0,264.1,62.0,30.0,10.0,36.0,246.0,101.4,2019,469.0,1812.0,3.9,113.3,41.0,19.0,8.0,3.0,369.0,4471.0,12.1,279.4,62.0,30.0,3.0,2.0,343.0,100.0,211.0,32.0,86.0,216.0,39.8,8.0,14.0,57.1,117.0,922.0
HOU,16.0,375.0,586.0,64.0,4276.0,7.7,267.3,65.0,33.0,12.0,31.0,215.0,97.6,2019,403.0,1937.0,4.8,121.1,63.0,12.0,4.0,3.0,375.0,4491.0,12.0,280.7,65.0,33.0,1.0,0.0,346.0,98.0,220.0,28.0,98.0,202.0,48.5,7.0,16.0,43.8,109.0,859.0
TB,16.0,408.0,664.0,61.4,4322.0,7.0,270.1,75.0,30.0,12.0,47.0,325.0,90.0,2019,362.0,1181.0,3.3,73.8,59.0,11.0,6.0,4.0,408.0,4647.0,11.4,290.4,75.0,30.0,5.0,4.0,331.0,70.0,222.0,39.0,75.0,218.0,34.4,13.0,27.0,48.2,111.0,971.0
ARI,16.0,421.0,601.0,70.1,4510.0,8.0,281.9,57.0,38.0,7.0,40.0,275.0,109.9,2019,439.0,1922.0,4.4,120.1,76.0,9.0,3.0,2.0,421.0,4785.0,11.4,299.1,57.0,38.0,5.0,3.0,375.0,94.0,243.0,38.0,100.0,214.0,46.7,3.0,14.0,21.4,114.0,1041.0
DET,16.0,381.0,611.0,62.4,4551.0,7.8,284.4,66.0,33.0,7.0,28.0,188.0,99.6,2019,455.0,1855.0,4.1,115.9,45.0,13.0,7.0,5.0,381.0,4739.0,12.4,296.2,66.0,33.0,5.0,2.0,365.0,94.0,232.0,39.0,94.0,214.0,43.9,7.0,15.0,46.7,117.0,960.0
