Player,Tm,yardline_100
J.WILKINS,IND,49
C.MCCAFFREY,CAR,13
C.MCCAFFREY,CAR,27
C.MCCAFFREY,CAR,14
C.MCCAFFREY,CAR,22
W.GRIER,CAR,38
J.BRISSETT,IND,1
J.WILKINS,IND,8
M.MACK,IND,13
M.MACK,IND,20
M.MACK,IND,22
M.MACK,IND,36
N.CHUBB,CLE,2
J.CONNER,PIT,45
T.MONTGOMERY,NYJ,44
D.WASHINGTON,OAK,43
P.LINDSAY,DEN,18
P.LINDSAY,DEN,20
P.LINDSAY,DEN,27
P.LINDSAY,DEN,27
R.FREEMAN,DEN,49
N.CHUBB,CLE,29
L.JACKSON,BAL,22
J.CONNER,PIT,46
L.BELL,NYJ,31
L.BELL,NYJ,36
L.BELL,NYJ,43
N.CHUBB,CLE,1
N.CHUBB,CLE,27
G.EDWARDS,BAL,2
J.HILL,BAL,2
L.JACKSON,BAL,26
N.CHUBB,CLE,10
B.MAYFIELD,CLE,36
A.PETERSON,WAS,8
A.PETERSON,WAS,21
A.PETERSON,WAS,37
A.PETERSON,WAS,15
C.THOMPSON,WAS,17
S.BARKLEY,NYG,24
L.MURRAY,NO,1
A.KAMARA,NO,15
L.BELL,NYJ,35
L.BELL,NYJ,35
L.BELL,NYJ,39
L.BELL,NYJ,41
B.SNELL,PIT,32
K.WHYTE,PIT,43
L.BELL,NYJ,19
J.SAMUELS,PIT,41
DAM.WILLIAMS,KC,12
A.JONES,GB,12
A.JONES,GB,27
A.JONES,GB,35
J.WILLIAMS,GB,45
N.CHUBB,CLE,39
N.CHUBB,CLE,48
G.EDWARDS,BAL,48
D.FREEMAN,ATL,39
D.FREEMAN,ATL,41
G.MINSHEW,JAX,34
D.COOK,MIN,42
M.BOONE,MIN,28
L.MURRAY,NO,32
P.LINDSAY,DEN,16
P.LINDSAY,DEN,32
M.BREIDA,SF,38
R.MOSTERT,SF,34
R.MOSTERT,SF,40
R.MOSTERT,SF,48
T.COLEMAN,SF,3
D.FREEMAN,ATL,36
M.RYAN,ATL,40
D.FREEMAN,ATL,12
D.FREEMAN,ATL,22
D.FREEMAN,ATL,36
R.MOSTERT,SF,2
R.MOSTERT,SF,13
J.GAROPPOLO,SF,16
R.MOSTERT,SF,25
M.BREIDA,SF,31
R.MOSTERT,SF,38
K.JUSZCZYK,SF,47
D.FREEMAN,ATL,48
J.GOFF,LA,7
T.GURLEY,LA,40
T.POLLARD,DAL,44
T.POLLARD,DAL,46
T.GURLEY,LA,7
E.ELLIOTT,DAL,21
T.POLLARD,DAL,29
E.ELLIOTT,DAL,38
B.SCOTT,PHI,37
M.SANDERS,PHI,49
A.PETERSON,WAS,8
A.PETERSON,WAS,22
A.PETERSON,WAS,40
M.SANDERS,PHI,1
M.SANDERS,PHI,8
M.SANDERS,PHI,31
M.SANDERS,PHI,21
C.WENTZ,PHI,13
L.MURRAY,NO,36
L.MURRAY,NO,40
A.KAMARA,NO,6
A.KAMARA,NO,23
A.KAMARA,NO,29
Z.LINE,NO,32
A.KAMARA,NO,41
L.MURRAY,NO,15
A.KAMARA,NO,45
M.MACK,IND,41
L.MURRAY,NO,23
L.MURRAY,NO,33
D.PRESCOTT,DAL,33
E.ELLIOTT,DAL,37
E.ELLIOTT,DAL,3
D.PRESCOTT,DAL,9
M.SANDERS,PHI,50
D.HASKINS,WAS,45
S.BARKLEY,NYG,2
S.BARKLEY,NYG,14
S.BARKLEY,NYG,20
S.BARKLEY,NYG,32
S.BARKLEY,NYG,40
C.KEENUM,WAS,1
C.THOMPSON,WAS,10
C.THOMPSON,WAS,24
S.BARKLEY,NYG,41
A.PETERSON,WAS,1
A.PETERSON,WAS,49
D.HENRY,TEN,2
D.HENRY,TEN,13
D.HENRY,TEN,32
R.TANNEHILL,TEN,42
D.HENRY,TEN,44
D.WATSON,HOU,49
C.HYDE,HOU,21
C.HYDE,HOU,24
D.JOHNSON,HOU,46
B.SCOTT,PHI,29
D.HENRY,TEN,20
D.HENRY,TEN,43
D.HENRY,TEN,45
D.THOMPSON,KC,11
L.MCCOY,KC,29
C.HYDE,HOU,42
C.HYDE,HOU,42
C.HYDE,HOU,42
D.WATSON,HOU,6
C.HYDE,HOU,7
C.HYDE,HOU,8
C.HYDE,HOU,17
D.JOHNSON,HOU,45
D.HENRY,TEN,30
D.HENRY,TEN,37
C.HYDE,HOU,23
C.HYDE,HOU,35
D.SINGLETARY,BUF,15
D.SINGLETARY,BUF,30
D.SINGLETARY,BUF,15
F.GORE,BUF,10
F.GORE,BUF,8
J.ALLEN,BUF,10
F.GORE,BUF,9
F.GORE,BUF,18
J.CONNER,PIT,48
D.SINGLETARY,BUF,43
J.CONNER,PIT,27
J.WILKINS,IND,1
J.WILKINS,IND,20
G.MINSHEW,JAX,13
R.ARMSTEAD,JAX,14
J.JACOBS,OAK,41
K.DRAKE,ARI,6
K.DRAKE,ARI,9
K.DRAKE,ARI,30
K.DRAKE,ARI,17
K.DRAKE,ARI,26
K.DRAKE,ARI,36
K.DRAKE,ARI,43
N.CHUBB,CLE,3
N.CHUBB,CLE,32
B.MAYFIELD,CLE,41
K.HUNT,CLE,44
N.CHUBB,CLE,48
K.MURRAY,ARI,7
C.CARSON,SEA,6
T.HOMER,SEA,10
T.HOMER,SEA,20
C.CARSON,SEA,46
K.MURRAY,ARI,14
K.DRAKE,ARI,17
K.DRAKE,ARI,23
K.DRAKE,ARI,26
D.JOHNSON,ARI,35
N.CHUBB,CLE,22
K.HUNT,CLE,28
N.CHUBB,CLE,33
N.CHUBB,CLE,36
K.DRAKE,ARI,1
K.DRAKE,ARI,32
R.FITZPATRICK,MIA,33
S.BARKLEY,NYG,25
S.BARKLEY,NYG,33
M.GASKIN,MIA,48
S.BARKLEY,NYG,46
S.BARKLEY,NYG,48
P.LAIRD,MIA,10
Q.OLLISON,ATL,3
B.HILL,ATL,9
B.HILL,ATL,26
B.HILL,ATL,44
G.MINSHEW,JAX,12
L.FOURNETTE,JAX,15
L.FOURNETTE,JAX,40
B.HILL,ATL,46
D.PRESCOTT,DAL,23
T.POLLARD,DAL,23
T.POLLARD,DAL,28
D.PRESCOTT,DAL,30
E.ELLIOTT,DAL,34
E.ELLIOTT,DAL,39
D.FREEMAN,ATL,17
D.WASHINGTON,OAK,49
D.WASHINGTON,OAK,49
D.WASHINGTON,OAK,49
E.ELLIOTT,DAL,26
T.GURLEY,LA,36
E.ELLIOTT,DAL,1
E.ELLIOTT,DAL,2
E.ELLIOTT,DAL,5
D.PRESCOTT,DAL,7
E.ELLIOTT,DAL,8
J.GOFF,LA,5
T.GURLEY,LA,7
D.FREEMAN,ATL,47
D.FREEMAN,ATL,41
L.FOURNETTE,JAX,21
R.ARMSTEAD,JAX,23
K.COLE,JAX,29
P.LAIRD,MIA,40
D.FREEMAN,ATL,28
B.HILL,ATL,46
D.FREEMAN,ATL,12
D.WASHINGTON,OAK,29
D.WASHINGTON,OAK,37
J.RICHARD,OAK,49
M.GORDON,LAC,1
M.GORDON,LAC,46
M.GORDON,LAC,49
D.WASHINGTON,OAK,5
J.RICHARD,OAK,16
J.RICHARD,OAK,21
D.WASHINGTON,OAK,27
D.WASHINGTON,OAK,32
D.WASHINGTON,OAK,41
D.CARR,OAK,3
J.RICHARD,OAK,41
M.GORDON,LAC,1
M.GORDON,LAC,43
L.JACKSON,BAL,49
B.SCARBROUGH,DET,16
A.EKELER,LAC,49
M.BOONE,MIN,2
M.BOONE,MIN,7
M.BOONE,MIN,10
M.BOONE,MIN,8
M.BOONE,MIN,46
M.BOONE,MIN,50
J.JACKSON,LAC,34
J.JACKSON,LAC,38
J.JACKSON,LAC,43
M.BOONE,MIN,13
M.BOONE,MIN,18
K.COUSINS,MIN,32
M.BOONE,MIN,41
D.COOK,MIN,19
D.COOK,MIN,26
M.GASKIN,MIA,19
R.FITZPATRICK,MIA,43
P.LAIRD,MIA,42
P.LAIRD,MIA,32
S.WARE,KC,47
S.WARE,KC,50
D.HENRY,TEN,7
C.HYDE,HOU,5
C.HYDE,HOU,16
D.WATSON,HOU,50
T.MONTGOMERY,NYJ,32
L.JACKSON,BAL,11
L.JACKSON,BAL,25
B.SCOTT,PHI,8
M.SANDERS,PHI,18
M.SANDERS,PHI,26
M.SANDERS,PHI,1
M.SANDERS,PHI,28
R.TANNEHILL,TEN,1
D.HENRY,TEN,1
P.MAHOMES,KC,43
R.FREEMAN,DEN,9
J.MIXON,CIN,49
S.MICHEL,NE,43
J.MIXON,CIN,30
J.MIXON,CIN,31
J.MIXON,CIN,39
R.BURKHEAD,NE,41
J.MIXON,CIN,20
J.MIXON,CIN,17
J.MIXON,CIN,41
G.BERNARD,CIN,11
G.BERNARD,CIN,15
G.BERNARD,CIN,32
J.WHITE,NE,23
N.HARRY,NE,33
S.MICHEL,NE,45
C.MCCAFFREY,CAR,15
K.ALLEN,CAR,23
C.CARSON,SEA,47
C.CARSON,SEA,21
T.COHEN,CHI,19
M.TRUBISKY,CHI,28
W.HILLS,DET,4
W.HILLS,DET,1
R.JONES,TB,29
W.HILLS,DET,48
R.JONES,TB,20
B.PERRIMAN,TB,43
R.JONES,TB,47
J.ALLEN,BUF,1
D.SINGLETARY,BUF,15
D.SINGLETARY,BUF,18
D.SINGLETARY,BUF,26
J.ALLEN,BUF,48
M.GASKIN,MIA,31
M.GASKIN,MIA,32
J.ALLEN,NYG,1
J.ALLEN,NYG,20
J.ALLEN,NYG,45
J.ALLEN,NYG,44
T.GURLEY,LA,44
T.GURLEY,LA,41
J.JACOBS,OAK,33
J.JACOBS,OAK,36
D.CARR,OAK,43
J.JACOBS,OAK,44
G.MINSHEW,JAX,25
L.FOURNETTE,JAX,14
K.COLE,JAX,28
G.MINSHEW,JAX,30
L.FOURNETTE,JAX,37
L.FOURNETTE,JAX,45
K.JOHNSON,DET,4
K.JOHNSON,DET,11
K.JOHNSON,DET,30
T.JOHNSON,DET,36
K.JOHNSON,DET,48
B.SCARBROUGH,DET,49
R.FREEMAN,DEN,17
A.BECK,DEN,26
P.LINDSAY,DEN,35
P.LINDSAY,DEN,20
P.LINDSAY,DEN,31
P.LINDSAY,DEN,33
R.FREEMAN,DEN,44
D.LOCK,DEN,47
R.FREEMAN,DEN,1
R.FREEMAN,DEN,19
M.GORDON,LAC,4
D.COOK,MIN,8
D.COOK,MIN,11
N.CHUBB,CLE,34
K.HUNT,CLE,49
K.DRAKE,ARI,1
K.MURRAY,ARI,24
K.DRAKE,ARI,44
A.EKELER,LAC,23
D.COOK,MIN,20
S.DIGGS,MIN,34
M.RYAN,ATL,24
R.MOSTERT,SF,34
D.FREEMAN,ATL,45
K.JUSZCZYK,SF,1
D.WASHINGTON,OAK,12
J.JACOBS,OAK,17
J.JACOBS,OAK,27
J.JACOBS,OAK,35
J.JACOBS,OAK,31
D.WASHINGTON,OAK,35
D.WASHINGTON,OAK,44
D.JOHNSON,ARI,31
K.MURRAY,ARI,36
M.SANDERS,PHI,15
A.PETERSON,WAS,34
A.PETERSON,WAS,33
C.WENTZ,PHI,5
M.SANDERS,PHI,9
A.PETERSON,WAS,10
A.PETERSON,WAS,14
D.HASKINS,WAS,37
A.PETERSON,WAS,39
S.BARKLEY,NYG,10
S.BARKLEY,NYG,17
S.BARKLEY,NYG,25
S.BARKLEY,NYG,1
C.CARSON,SEA,50
C.MCCAFFREY,CAR,41
R.WILSON,SEA,46
C.MCCAFFREY,CAR,35
K.ALLEN,CAR,39
L.BELL,NYJ,41
L.BELL,NYJ,9
L.JACKSON,BAL,30
G.EDWARDS,BAL,32
B.SCOTT,PHI,2
B.SCOTT,PHI,6
B.SCOTT,PHI,13
B.SCOTT,PHI,23
P.MAHOMES,KC,11
D.THOMPSON,KC,10
D.THOMPSON,KC,22
D.THOMPSON,KC,27
S.WARE,KC,9
T.HILL,KC,35
A.RODGERS,GB,46
A.JONES,GB,31
A.JONES,GB,33
D.MONTGOMERY,CHI,4
D.MONTGOMERY,CHI,10
M.TRUBISKY,CHI,41
T.COHEN,CHI,13
A.JONES,GB,2
D.MONTGOMERY,CHI,38
A.JONES,GB,21
A.RODGERS,GB,38
J.WILLIAMS,GB,37
J.WINSTON,TB,36
R.JONES,TB,45
W.HILLS,DET,44
R.JONES,TB,42
R.JONES,TB,44
C.PROSISE,SEA,19
C.PROSISE,SEA,26
C.CARSON,SEA,16
C.CARSON,SEA,22
C.PROSISE,SEA,33
J.HILL,BAL,28
J.HILL,BAL,30
L.BELL,NYJ,42
L.BELL,NYJ,20
J.MIXON,CIN,30
G.BERNARD,CIN,41
S.BARKLEY,NYG,13
R.WILSON,SEA,18
T.GURLEY,LA,7
R.WOODS,LA,20
R.WILSON,SEA,44
T.GURLEY,LA,19
T.GURLEY,LA,22
J.REYNOLDS,LA,32
T.GURLEY,LA,43
T.GURLEY,LA,18
T.GURLEY,LA,20
T.GURLEY,LA,27
C.PROSISE,SEA,33
C.CARSON,SEA,43
T.GURLEY,LA,3
T.GURLEY,LA,19
D.WATSON,HOU,12
D.LEWIS,TEN,11
C.HYDE,HOU,10
D.WATSON,HOU,27
C.HYDE,HOU,29
T.GURLEY,LA,23
T.GURLEY,LA,30
S.MICHEL,NE,40
B.SNELL,PIT,23
K.MURRAY,ARI,32
K.DRAKE,ARI,32
K.MURRAY,ARI,14
C.CARSON,SEA,14
C.MCCAFFREY,CAR,1
C.SAMUEL,CAR,5
C.MCCAFFREY,CAR,19
D.MOORE,CAR,29
C.MCCAFFREY,CAR,33
C.MCCAFFREY,CAR,38
L.JACKSON,BAL,26
D.WASHINGTON,OAK,1
D.WASHINGTON,OAK,2
J.WHITE,NE,3
R.BURKHEAD,NE,39
R.BURKHEAD,NE,49
B.BOLDEN,NE,10
L.MCCOY,KC,31
S.WARE,KC,33
S.WARE,KC,34
D.THOMPSON,KC,38
S.WARE,KC,48
J.WHITE,NE,30
J.WHITE,NE,50
L.MCCOY,KC,4
P.MAHOMES,KC,29
L.MCCOY,KC,35
P.MAHOMES,KC,33
L.MCCOY,KC,45
R.BURKHEAD,NE,30
T.BRADY,NE,33
R.BURKHEAD,NE,38
T.HILL,KC,48
K.WHYTE,PIT,36
K.DRAKE,ARI,35
J.BRISSETT,IND,3
P.BARBER,TB,47
M.MACK,IND,2
J.BRISSETT,IND,11
J.BRISSETT,IND,20
M.MACK,IND,20
M.MACK,IND,23
J.BRISSETT,IND,38
M.MACK,IND,38
M.MACK,IND,47
J.WINSTON,TB,1
J.WINSTON,TB,48
B.SNELL,PIT,48
K.MURRAY,ARI,3
K.DRAKE,ARI,34
D.HODGES,PIT,18
J.SAMUELS,PIT,19
B.SNELL,PIT,22
J.SAMUELS,PIT,50
J.JACKSON,LAC,29
J.JACKSON,LAC,34
J.JACKSON,LAC,48
G.MINSHEW,JAX,50
D.WATT,LAC,15
L.BELL,NYJ,13
L.BELL,NYJ,24
L.BELL,NYJ,31
T.MONTGOMERY,NYJ,35
M.GORDON,LAC,19
M.GORDON,LAC,24
T.TAYLOR,LAC,33
M.GORDON,LAC,50
G.MINSHEW,JAX,47
G.MINSHEW,JAX,43
L.FOURNETTE,JAX,48
D.SAMUEL,SF,16
M.BREIDA,SF,47
R.MOSTERT,SF,50
A.KAMARA,NO,37
L.MURRAY,NO,36
T.HILL,NO,41
A.KAMARA,NO,44
M.GORDON,LAC,1
D.WASHINGTON,OAK,37
D.CARR,OAK,50
J.RICHARD,OAK,50
D.HENRY,TEN,7
D.LEWIS,TEN,41
D.WASHINGTON,OAK,46
D.HENRY,TEN,12
D.HENRY,TEN,23
D.WASHINGTON,OAK,14
D.WASHINGTON,OAK,24
D.HENRY,TEN,33
A.BROWN,TEN,47
D.HENRY,TEN,49
T.BRADY,NE,29
D.WATT,LAC,1
M.GORDON,LAC,4
A.EKELER,LAC,48
P.BARBER,TB,50
P.BARBER,TB,15
R.JONES,TB,24
R.JONES,TB,30
M.MACK,IND,25
M.MACK,IND,24
J.WILKINS,IND,25
R.JONES,TB,33
M.MACK,IND,23
M.MACK,IND,13
P.BARBER,TB,49
M.MACK,IND,32
M.MACK,IND,34
N.HINES,IND,46
M.MACK,IND,50
T.MONTGOMERY,NYJ,26
K.DRAKE,ARI,50
P.LAIRD,MIA,20
P.LAIRD,MIA,15
R.FITZPATRICK,MIA,41
B.POWELL,NYJ,28
M.GASKIN,MIA,9
P.LAIRD,MIA,46
R.FITZPATRICK,MIA,16
R.FITZPATRICK,MIA,34
B.POWELL,NYJ,39
R.FITZPATRICK,MIA,10
M.GASKIN,MIA,12
M.GASKIN,MIA,32
P.LAIRD,MIA,48
T.MONTGOMERY,NYJ,24
T.MONTGOMERY,NYJ,40
RO.ANDERSON,NYJ,44
S.DARNOLD,NYJ,37
R.FITZPATRICK,MIA,10
P.LAIRD,MIA,8
P.LAIRD,MIA,14
K.DRAKE,ARI,17
K.DRAKE,ARI,26
W.HILLS,DET,47
P.BARBER,TB,49
M.SANDERS,PHI,19
S.BARKLEY,NYG,37
S.SHEPARD,NYG,45
S.BARKLEY,NYG,49
S.BARKLEY,NYG,43
B.SNELL,PIT,1
J.SAMUELS,PIT,44
B.SNELL,PIT,49
K.MURRAY,ARI,39
M.BROWN,LA,1
T.GURLEY,LA,35
C.CARSON,SEA,22
C.CARSON,SEA,34
A.JONES,GB,40
D.MONTGOMERY,CHI,44
C.PATTERSON,CHI,44
D.MONTGOMERY,CHI,47
A.JONES,GB,34
A.JONES,GB,35
P.BARBER,TB,25
P.BARBER,TB,28
P.BARBER,TB,46
P.BARBER,TB,39
W.HILLS,DET,1
P.LAIRD,MIA,36
B.POWELL,NYJ,43
T.MONTGOMERY,NYJ,45
R.MOSTERT,SF,14
M.BREIDA,SF,24
M.BREIDA,SF,30
M.BREIDA,SF,34
M.BOONE,MIN,44
M.BOONE,MIN,47
M.BOONE,MIN,45
M.BOONE,MIN,48
J.MCKISSIC,DET,46
A.MATTISON,MIN,34
A.MATTISON,MIN,35
A.MATTISON,MIN,39
A.MATTISON,MIN,47
A.KAMARA,NO,40
R.MOSTERT,SF,10
R.MOSTERT,SF,23
D.COOK,MIN,40
D.COOK,MIN,41
B.SCARBROUGH,DET,42
D.COOK,MIN,20
D.COOK,MIN,32
D.COOK,MIN,48
D.WATSON,HOU,3
C.HYDE,HOU,50
D.WATSON,HOU,6
C.HYDE,HOU,8
D.HOPKINS,HOU,20
C.HYDE,HOU,41
C.HYDE,HOU,50
R.FREEMAN,DEN,25
D.LOCK,DEN,30
P.LINDSAY,DEN,33
P.LINDSAY,DEN,36
D.LOCK,DEN,47
R.FREEMAN,DEN,48
P.LINDSAY,DEN,14
R.FREEMAN,DEN,25
P.LINDSAY,DEN,14
P.LINDSAY,DEN,23
P.LINDSAY,DEN,19
P.LINDSAY,DEN,21
P.LINDSAY,DEN,42
R.FITZPATRICK,MIA,38
P.LAIRD,MIA,25
P.LAIRD,MIA,27
K.ALLEN,CAR,30
B.HILL,ATL,3
B.HILL,ATL,30
B.HILL,ATL,26
B.HILL,ATL,35
B.HILL,ATL,42
Q.OLLISON,ATL,33
Q.OLLISON,ATL,35
M.RYAN,ATL,43
R.FITZPATRICK,MIA,33
P.LAIRD,MIA,47
B.POWELL,NYJ,47
B.POWELL,NYJ,14
T.MONTGOMERY,NYJ,14
T.MONTGOMERY,NYJ,23
B.POWELL,NYJ,44
B.POWELL,NYJ,44
M.GASKIN,MIA,23
R.FREEMAN,DEN,17
P.LINDSAY,DEN,44
D.LEWIS,TEN,46
D.HENRY,TEN,10
D.WASHINGTON,OAK,41
R.TANNEHILL,TEN,31
A.INGOLD,OAK,1
J.WILLIAMS,GB,16
J.WILLIAMS,GB,19
A.JONES,GB,24
A.JONES,GB,36
W.SMALLWOOD,WAS,50
D.HASKINS,WAS,35
A.PETERSON,WAS,36
F.GORE,BUF,34
F.GORE,BUF,46
G.EDWARDS,BAL,49
D.SINGLETARY,BUF,17
J.ALLEN,BUF,15
D.SINGLETARY,BUF,24
D.SINGLETARY,BUF,38
D.SINGLETARY,BUF,41
D.SINGLETARY,BUF,49
M.INGRAM,BAL,4
L.JACKSON,BAL,21
M.INGRAM,BAL,24
J.HILL,BAL,12
G.EDWARDS,BAL,25
L.JACKSON,BAL,32
Q.OLLISON,ATL,32
C.MCCAFFREY,CAR,9
D.FREEMAN,ATL,10
D.FREEMAN,ATL,16
D.MOORE,CAR,49
J.WHITE,NE,16
J.WHITE,NE,44
J.WHITE,NE,49
C.HYDE,HOU,36
R.MOSTERT,SF,28
R.MOSTERT,SF,32
D.WATSON,HOU,41
C.HYDE,HOU,43
D.FREEMAN,ATL,13
D.FREEMAN,ATL,18
D.FREEMAN,ATL,28
D.FREEMAN,ATL,46
C.MCCAFFREY,CAR,9
E.ELLIOTT,DAL,26
E.ELLIOTT,DAL,30
D.MONTGOMERY,CHI,23
D.MONTGOMERY,CHI,43
E.ELLIOTT,DAL,2
D.PRESCOTT,DAL,3
E.ELLIOTT,DAL,13
D.PRESCOTT,DAL,14
E.ELLIOTT,DAL,33
E.ELLIOTT,DAL,37
C.CARSON,SEA,19
C.CARSON,SEA,17
R.PENNY,SEA,22
C.CARSON,SEA,33
C.CARSON,SEA,36
C.CARSON,SEA,42
A.MATTISON,MIN,2
A.MATTISON,MIN,10
C.CARSON,SEA,39
R.PENNY,SEA,15
R.PENNY,SEA,25
R.PENNY,SEA,17
C.CARSON,SEA,26
R.PENNY,SEA,1
R.PENNY,SEA,5
C.CARSON,SEA,30
C.CARSON,SEA,44
A.DALTON,CIN,12
J.MIXON,CIN,31
K.HUNT,CLE,3
M.TRUBISKY,CHI,23
E.ELLIOTT,DAL,2
E.ELLIOTT,DAL,3
E.ELLIOTT,DAL,5
E.ELLIOTT,DAL,11
D.MONTGOMERY,CHI,44
D.MONTGOMERY,CHI,48
D.MONTGOMERY,CHI,28
G.MINSHEW,JAX,11
L.FOURNETTE,JAX,12
L.FOURNETTE,JAX,36
R.ARMSTEAD,JAX,39
L.FOURNETTE,JAX,50
A.JONES,GB,12
A.JONES,GB,28
A.JONES,GB,32
J.WILLIAMS,GB,48
J.WILLIAMS,GB,48
A.JONES,GB,4
A.RODGERS,GB,26
A.JONES,GB,27
N.CHUBB,CLE,14
N.CHUBB,CLE,16
N.CHUBB,CLE,19
K.HUNT,CLE,49
D.BREES,NO,1
A.KAMARA,NO,2
A.KAMARA,NO,4
L.MURRAY,NO,10
D.HARRIS,NO,27
A.KAMARA,NO,29
L.MURRAY,NO,34
M.TRUBISKY,CHI,34
M.TRUBISKY,CHI,35
D.MONTGOMERY,CHI,35
D.MONTGOMERY,CHI,44
B.MAYFIELD,CLE,7
N.CHUBB,CLE,10
J.MIXON,CIN,1
J.MIXON,CIN,28
D.SINGLETARY,BUF,18
D.SINGLETARY,BUF,50
F.GORE,BUF,1
D.SINGLETARY,BUF,40
L.JACKSON,BAL,4
G.EDWARDS,BAL,14
G.EDWARDS,BAL,15
M.INGRAM,BAL,38
L.JACKSON,BAL,48
C.CARSON,SEA,1
C.CARSON,SEA,1
R.WILSON,SEA,27
C.CARSON,SEA,28
C.HYDE,HOU,42
C.HYDE,HOU,42
J.WHITE,NE,48
D.JOHNSON,HOU,14
D.JOHNSON,HOU,43
D.JOHNSON,HOU,46
D.COOK,MIN,2
S.DIGGS,MIN,29
D.COOK,MIN,38
K.MURRAY,ARI,15
D.JOHNSON,ARI,24
K.MURRAY,ARI,33
K.DRAKE,ARI,35
T.GURLEY,LA,19
T.GURLEY,LA,33
T.GURLEY,LA,38
T.GURLEY,LA,28
M.BROWN,LA,13
M.BROWN,LA,32
T.GURLEY,LA,1
S.MICHEL,NE,7
S.MICHEL,NE,24
S.MICHEL,NE,29
S.MICHEL,NE,34
J.EDELMAN,NE,42
N.CHUBB,CLE,38
